bandwidth_saved_percent,compression_ratio,detector_retention,image,image_index,inference_latency_ms,keep_ratio,lpips,object_retention,psnr,region_preservation,relevance_retention,semantic_token_count,semantic_utility_score,ssim,total_token_count,variant
98.92,92.7449,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00026.png,27,615.8665,0.8,0.555043,1.0,25.3626,1.0,1.0,3277,100.0,0.8092,4096,without_detail_term
98.95,94.9981,0.930042,datasets\sentinel2_500_patch\images\sentinel2_patch_00027.png,28,550.794,0.8,0.535316,0.0,25.2794,0.233786,0.928191,3277,58.1033,0.7994,4096,full_detail_aware
98.95,94.8569,0.932219,datasets\sentinel2_500_patch\images\sentinel2_patch_00027.png,28,588.2903,0.8,0.536715,0.0,25.2584,0.239819,0.930456,3277,58.2961,0.7986,4096,without_detail_term
98.94,93.9341,0.938204,datasets\sentinel2_500_patch\images\sentinel2_patch_00028.png,29,635.159,0.8,0.536328,0.0,25.4731,0.347701,0.937851,3277,59.7622,0.8015,4096,full_detail_aware
98.93,93.6608,0.919563,datasets\sentinel2_500_patch\images\sentinel2_patch_00028.png,29,608.8212,0.8,0.535634,0.0,25.2805,0.346264,0.918786,3277,58.6209,0.7983,4096,without_detail_term
98.97,97.5375,0.786143,datasets\sentinel2_500_patch\images\sentinel2_patch_00029.png,30,617.1085,0.8,0.567239,1.0,27.6815,0.533333,0.767351,3277,82.1261,0.8067,4096,full_detail_aware
98.97,97.0989,0.782123,datasets\sentinel2_500_patch\images\sentinel2_patch_00029.png,30,613.4675,0.8,0.569361,1.0,27.6307,0.533333,0.763321,3277,81.8847,0.8054,4096,without_detail_term
98.97,97.2067,0.700275,datasets\sentinel2_500_patch\images\sentinel2_patch_00030.png,31,700.5595,0.8,0.564166,1.0,27.2024,0.538462,0.707715,3277,77.5499,0.7985,4096,full_detail_aware
98.98,97.5986,0.698125,datasets\sentinel2_500_patch\images\sentinel2_patch_00030.png,31,609.8797,0.8,0.563936,1.0,27.3208,0.538462,0.705595,3277,77.4215,0.7992,4096,without_detail_term
98.97,97.4345,0.717389,datasets\sentinel2_500_patch\images\sentinel2_patch_00031.png,32,593.7461,0.8,0.567416,1.0,27.8788,0.576923,0.722313,3277,78.911,0.813,4096,full_detail_aware
98.97,97.2241,0.6456,datasets\sentinel2_500_patch\images\sentinel2_patch_00031.png,32,624.3577,0.8,0.56705,1.0,27.8382,0.538462,0.630284,3277,73.8143,0.8124,4096,without_detail_term
99.02,102.2362,0.843571,datasets\sentinel2_500_patch\images\sentinel2_patch_00032.png,33,592.08,0.8,0.662821,1.0,18.6143,0.577148,0.842948,3277,86.3733,0.8045,4096,full_detail_aware
99.03,102.7241,0.769876,datasets\sentinel2_500_patch\images\sentinel2_patch_00032.png,33,608.1435,0.8,0.663719,1.0,18.5374,0.517578,0.768655,3277,81.3439,0.8012,4096,without_detail_term
99.04,103.8162,0.698938,datasets\sentinel2_500_patch\images\sentinel2_patch_00033.png,34,564.5494,0.8,0.709249,1.0,18.4857,0.413086,0.693199,3277,75.9524,0.8107,4096,full_detail_aware
99.04,103.9403,0.682603,datasets\sentinel2_500_patch\images\sentinel2_patch_00033.png,34,594.3771,0.8,0.707941,1.0,18.4259,0.405273,0.677026,3277,74.8974,0.8088,4096,without_detail_term
99.03,103.2048,0.724248,datasets\sentinel2_500_patch\images\sentinel2_patch_00034.png,35,608.7705,0.8,0.710107,1.0,18.3296,0.407227,0.707047,3277,77.1831,0.8188,4096,full_detail_aware
99.04,103.7375,0.779751,datasets\sentinel2_500_patch\images\sentinel2_patch_00034.png,35,571.1739,0.8,0.707947,1.0,18.3213,0.456055,0.76265,3277,81.0036,0.8172,4096,without_detail_term
99.03,102.721,0.747197,datasets\sentinel2_500_patch\images\sentinel2_patch_00035.png,36,628.3564,0.8,0.665738,1.0,18.7752,0.460938,0.749745,3277,79.4922,0.7928,4096,full_detail_aware
99.03,103.193,0.747976,datasets\sentinel2_500_patch\images\sentinel2_patch_00035.png,36,625.7791,0.8,0.665449,1.0,18.7183,0.470703,0.750254,3277,79.6312,0.7906,4096,without_detail_term
99.03,102.7942,0.760442,datasets\sentinel2_500_patch\images\sentinel2_patch_00036.png,37,583.3355,0.8,0.661572,1.0,18.4929,0.500977,0.759278,3277,80.613,0.8047,4096,full_detail_aware
99.03,102.6518,0.76744,datasets\sentinel2_500_patch\images\sentinel2_patch_00036.png,37,595.7771,0.8,0.663261,1.0,18.4379,0.506836,0.76611,3277,81.0882,0.8023,4096,without_detail_term
99.06,106.1697,0.769841,datasets\sentinel2_500_patch\images\sentinel2_patch_00037.png,38,629.7026,0.8,0.736784,1.0,18.1222,0.391602,0.768903,3277,80.0877,0.7848,4096,full_detail_aware
99.07,106.9562,0.742835,datasets\sentinel2_500_patch\images\sentinel2_patch_00037.png,38,624.2448,0.8,0.736902,1.0,18.0299,0.385742,0.753142,3277,78.6336,0.7804,4096,without_detail_term
99.05,105.503,0.877133,datasets\sentinel2_500_patch\images\sentinel2_patch_00038.png,39,613.4541,0.8,0.744608,1.0,17.8973,0.672852,0.883409,3277,89.482,0.7824,4096,full_detail_aware
99.05,105.5668,0.872299,datasets\sentinel2_500_patch\images\sentinel2_patch_00038.png,39,648.6274,0.8,0.742989,1.0,17.6408,0.672852,0.878208,3277,89.1846,0.7706,4096,without_detail_term
99.05,105.6993,0.830944,datasets\sentinel2_500_patch\images\sentinel2_patch_00039.png,40,595.0303,0.8,0.74039,1.0,18.1293,0.567383,0.841529,3277,85.7422,0.7783,4096,full_detail_aware
99.06,105.9158,0.821345,datasets\sentinel2_500_patch\images\sentinel2_patch_00039.png,40,616.3327,0.8,0.739688,1.0,18.0902,0.570312,0.842097,3277,85.3989,0.7768,4096,without_detail_term
98.88,89.5306,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00040.png,41,564.6072,0.8,0.570691,0.863636,21.4745,1.0,1.0,3277,95.9091,0.9512,4096,full_detail_aware
98.88,89.4559,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00040.png,41,600.5528,0.8,0.572485,0.863636,21.4805,1.0,1.0,3277,95.9091,0.9513,4096,without_detail_term
98.98,97.6315,0.916108,datasets\sentinel2_500_patch\images\sentinel2_patch_00041.png,42,581.6414,0.8,0.523885,0.75,22.6485,0.870117,0.893343,3277,85.7123,0.9528,4096,full_detail_aware
98.97,97.2355,0.915596,datasets\sentinel2_500_patch\images\sentinel2_patch_00041.png,42,544.0474,0.8,0.523843,0.729167,22.6561,0.870117,0.892609,3277,85.0522,0.9529,4096,without_detail_term
98.91,91.5584,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00042.png,43,630.6988,0.8,0.556538,0.904762,21.6627,1.0,1.0,3277,97.1429,0.9548,4096,full_detail_aware
98.91,91.4996,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00042.png,43,558.8185,0.8,0.557168,0.904762,21.6601,1.0,1.0,3277,97.1429,0.9548,4096,without_detail_term
98.86,87.6987,0.987998,datasets\sentinel2_500_patch\images\sentinel2_patch_00043.png,44,583.5087,0.8,0.57901,1.0,21.2659,0.845703,0.970173,3277,97.3804,0.9376,4096,full_detail_aware
98.86,87.8755,0.987838,datasets\sentinel2_500_patch\images\sentinel2_patch_00043.png,44,536.9413,0.8,0.580051,1.0,21.2717,0.841797,0.970112,3277,97.3337,0.9375,4096,without_detail_term
98.89,90.3963,0.926407,datasets\sentinel2_500_patch\images\sentinel2_patch_00044.png,45,610.4521,0.8,0.631623,1.0,19.0285,0.439453,0.931192,3277,90.0746,0.9153,4096,full_detail_aware
98.89,90.3239,0.964136,datasets\sentinel2_500_patch\images\sentinel2_patch_00044.png,45,572.3664,0.8,0.634814,1.0,19.0145,0.505859,0.968656,3277,92.9971,0.9151,4096,without_detail_term
98.86,87.3393,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00045.png,46,567.2371,0.8,0.395385,0.672131,24.7331,1.0,1.0,3277,90.1639,0.9456,4096,full_detail_aware
98.86,87.3946,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00045.png,46,560.0221,0.8,0.395164,0.672131,24.734,1.0,1.0,3277,90.1639,0.9456,4096,without_detail_term
99.01,100.6556,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00046.png,47,530.2993,0.8,0.326028,0.638298,26.7895,1.0,1.0,3277,89.1489,0.9535,4096,full_detail_aware
99.01,100.6288,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00046.png,47,499.0106,0.8,0.326125,0.638298,26.7881,1.0,1.0,3277,89.1489,0.9535,4096,without_detail_term
98.87,88.6586,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00047.png,48,562.8556,0.8,0.393466,0.716667,25.1336,0.940499,1.0,3277,90.905,0.9469,4096,full_detail_aware
98.87,88.6013,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00047.png,48,535.7721,0.8,0.393382,0.716667,25.1345,0.940499,1.0,3277,90.905,0.947,4096,without_detail_term
98.85,86.9932,0.913113,datasets\sentinel2_500_patch\images\sentinel2_patch_00048.png,49,522.1283,0.8,0.436265,0.730769,22.4156,0.813901,0.894653,3277,84.4797,0.9125,4096,full_detail_aware
98.85,86.9395,0.912751,datasets\sentinel2_500_patch\images\sentinel2_patch_00048.png,49,543.8156,0.8,0.436655,0.730769,22.4172,0.811659,0.894293,3277,84.4356,0.9126,4096,without_detail_term
98.87,88.4771,0.847728,datasets\sentinel2_500_patch\images\sentinel2_patch_00049.png,50,517.7824,0.8,0.553624,0.673077,22.397,0.614371,0.840375,3277,77.0527,0.8912,4096,full_detail_aware
98.87,88.6513,0.846758,datasets\sentinel2_500_patch\images\sentinel2_patch_00049.png,50,580.7691,0.8,0.554396,0.673077,22.3424,0.611976,0.839405,3277,76.9705,0.8901,4096,without_detail_term
98.95,95.627,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00050.png,51,619.9777,0.8,0.717159,1.0,18.4761,1.0,1.0,3277,100.0,0.8656,4096,full_detail_aware
98.96,95.7526,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00050.png,51,625.1037,0.8,0.71841,1.0,18.2924,1.0,1.0,3277,100.0,0.8616,4096,without_detail_term
99.01,100.5319,0.908899,datasets\sentinel2_500_patch\images\sentinel2_patch_00051.png,52,580.6135,0.8,0.657515,1.0,19.9762,0.722656,0.912188,3277,91.8263,0.9002,4096,full_detail_aware
99.0,100.1872,0.907453,datasets\sentinel2_500_patch\images\sentinel2_patch_00051.png,52,578.7827,0.8,0.656193,1.0,19.9787,0.720703,0.910713,3277,91.7194,0.9003,4096,without_detail_term
98.96,96.2045,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00052.png,53,622.9398,0.8,0.723244,1.0,19.2794,1.0,1.0,3277,100.0,0.8773,4096,full_detail_aware
98.96,96.386,0.869598,datasets\sentinel2_500_patch\images\sentinel2_patch_00052.png,53,570.4113,0.8,0.724129,1.0,19.1416,0.845703,0.872355,3277,90.688,0.8745,4096,without_detail_term
99.0,99.6908,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00053.png,54,570.1006,0.8,0.591773,1.0,20.767,1.0,1.0,3277,100.0,0.9167,4096,full_detail_aware
99.0,99.7525,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00053.png,54,558.7325,0.8,0.591718,1.0,20.7673,1.0,1.0,3277,100.0,0.9167,4096,without_detail_term
98.98,98.0891,0.799083,datasets\sentinel2_500_patch\images\sentinel2_patch_00054.png,55,603.5125,0.8,0.694118,1.0,19.142,0.700195,0.791039,3277,84.786,0.8877,4096,full_detail_aware
98.99,98.5771,0.80574,datasets\sentinel2_500_patch\images\sentinel2_patch_00054.png,55,574.8306,0.8,0.695359,1.0,19.0335,0.692383,0.79764,3277,85.1062,0.8806,4096,without_detail_term
98.91,91.359,0.661561,datasets\sentinel2_500_patch\images\sentinel2_patch_00055.png,56,584.2074,0.8,0.572449,1.0,19.8468,0.223404,0.657666,3277,71.8498,0.7551,4096,full_detail_aware
