baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,cohens_d_paired,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,bootstrap_95ci_low,bootstrap_95ci_high
fixed_mission_utility,hybrid_fixed_0p70_mask_supervised_cems_hls_0p30,ssim,80,0.8164275533515207,0.8164266250585659,-9.282929550720464e-07,-0.0005357550957431005,-0.004791939253493923,0.9961886803903218,1450.0,0.5252203573209901,-0.0003805366611974792,0.00036346531631282884
fixed_mission_utility,hybrid_fixed_0p80_mask_supervised_cems_hls_0p20,semantic_utility_score,80,97.16635775081404,97.11797273012266,-0.04838502069140116,-0.07044945138694553,-0.6301190491151082,0.5304351125659275,176.0,0.3694973514840306,-0.20735562822940978,0.0981553417720508
fixed_mission_utility,hybrid_fixed_0p80_mask_supervised_cems_hls_0p20,detector_retention,80,0.994158161431551,0.9942931577563285,0.00013499632477760316,0.0923934917257098,0.8263925127090058,0.4110704105710664,29.0,0.7221076526150257,-0.00014449102804064748,0.00048478355631232235
fixed_mission_utility,hybrid_fixed_0p80_mask_supervised_cems_hls_0p20,psnr,80,18.342517360177514,18.346748682166854,0.0042313219893374,0.09481258557513518,0.8480295458740729,0.39898362396814935,1327.0,0.21629929223569921,-0.005914951031302141,0.013125657643568782
fixed_mission_utility,hybrid_fixed_0p80_mask_supervised_cems_hls_0p20,ssim,80,0.8164275533515207,0.8162647009386859,-0.00016285241283477137,-0.14121468862170442,-1.2630625727183886,0.21028185827527138,1411.0,0.4088524507417852,-0.00042829272659070675,8.020852411084115e-05
fixed_mission_utility,hybrid_fixed_0p90_mask_supervised_cems_hls_0p10,semantic_utility_score,80,97.16635775081404,97.19696217024416,0.030604419430111385,0.056685754431335146,0.5070128010573013,0.6135581883913356,128.0,0.7610139718252409,-0.08752575983577941,0.15208371934944082
fixed_mission_utility,hybrid_fixed_0p90_mask_supervised_cems_hls_0p10,detector_retention,80,0.994158161431551,0.9942301519215107,7.19904899597168e-05,0.05774988789635706,0.5165307001169868,0.6069267478648339,31.0,0.8588630128278887,-0.00017284115776419623,0.000381209999322891
fixed_mission_utility,hybrid_fixed_0p90_mask_supervised_cems_hls_0p10,psnr,80,18.342517360177514,18.343576095747004,0.0010587355694867905,0.047591224887955655,0.42566885592779463,0.6715065807873724,1517.0,0.7581695496765621,-0.0037446490072345177,0.005835514353525433
fixed_mission_utility,hybrid_fixed_0p90_mask_supervised_cems_hls_0p10,ssim,80,0.8164275533515207,0.8163141432736378,-0.00011341007788299092,-0.21496442550384728,-1.9227002726831683,0.058121867335650834,1243.0,0.09956987795543619,-0.00022689033374993718,1.9279815232826516e-08
fixed_mission_utility,hybrid_fixed_0p95_mask_supervised_cems_hls_0p05,semantic_utility_score,80,97.16635775081404,97.2269719562516,0.0606142054375443,0.11905759794910738,1.0648835290081746,0.29017258098950066,70.0,0.499656379643342,-0.03348041631783763,0.1912961375572509
fixed_mission_utility,hybrid_fixed_0p95_mask_supervised_cems_hls_0p05,detector_retention,80,0.994158161431551,0.9942349962890148,7.683485746383667e-05,0.07670063305182061,0.6860313176845522,0.49470185268493383,23.0,0.6464622026641696,-6.777977570891379e-05,0.00032258404418826085
fixed_mission_utility,hybrid_fixed_0p95_mask_supervised_cems_hls_0p05,psnr,80,18.342517360177514,18.340372371354324,-0.002144988823191163,-0.15801096376181634,-1.4132930246467086,0.16149776675864136,1379.0,0.32595159228016446,-0.005298832257298446,0.0007257724220203689
fixed_mission_utility,hybrid_fixed_0p95_mask_supervised_cems_hls_0p05,ssim,80,0.8164275533515207,0.8163202432063787,-0.00010731014514199361,-0.26107140687365105,-2.3350936510039584,0.022077814607726377,1176.0,0.04833899385513362,-0.0002010378182824792,-2.152081614910492e-05
fixed_mission_utility,mask_supervised_cems_hls,semantic_utility_score,80,97.16635775081404,95.6333255736005,-1.5330321772135491,-0.4403179139019393,-3.9383231487825445,0.00017578612638015513,323.0,0.0008586900641968171,-2.2783733659099075,-0.7902967687974096
fixed_mission_utility,mask_supervised_cems_hls,detector_retention,80,0.994158161431551,0.9801365815103054,-0.014021579921245576,-0.3867603811514675,-3.4592900130336393,0.000875878916190278,12.0,0.0005167151238567522,-0.022346296943724156,-0.006737030781805516
fixed_mission_utility,mask_supervised_cems_hls,psnr,80,18.342517360177514,18.10765238234247,-0.23486497783504756,-0.18310291668171536,-1.6377222743151831,0.10545700094958893,1099.0,0.012459154341069905,-0.5140804740968021,0.02849493966748606
fixed_mission_utility,mask_supervised_cems_hls,ssim,80,0.8164275533515207,0.801243191450656,-0.015184361900864732,-0.2629678517607265,-2.3520559697362886,0.02116061924071811,504.0,8.667228204978712e-08,-0.0269081307431862,-0.0025236916221135362
